movie_name,year,genre,rating,description
Masand,2022,Action,9.7,"Based on true events, the film revolves around Masands who committed crimes during 1980 to 2010 in Punjab. They burnt families alive, raped and killed innocent children. Their rising terror spoiled the atmosphere in Punjab."
Lakhey,2022,"Action, Thriller",9.6,"Sameer Maharjan, born in a family Lakhey, is a bank manager. He regards Lakhey as Lord Indra and the protector of the community. His professional and family life is ruined as he gets ...                See full summary »"
King B.'s ROOST the Sequel,2010,"Action, Crime",9.6,"The Gang is back well, at least the Mob is. Follow Alex ""Candyman"" Sims as he tries to navigate the Chicago Mob and escape with his life."
La Muerte De Un Federal,2019,"Crime, Adventure, Action",9.6,Add a Plot
Shura no sekai,2022,Action,9.6,"A yakuza movie starring Koji Matoba, depicting the lives of men left behind in the times. At the Yokohama-based Ninkyo Yamaguchi-gumi, the drug business is legal according to the teachings ...                See full summary »"
Aye Bujji Neeku Nene,2022,"Action, Comedy, Drama",9.6,"The movie revolves around a go-lucky boy Uday, who lives with his mother and loves her very much. Life turns apart when his mother asks him to love a girl and bring her as her daughter-in- ...                See full summary »"
Shambho Shiva Shankara,2022,"Action, Thriller",9.6,"Three boys, Shambhu Shiva Shankar, who have been sentenced as juvenile delinquents, come out of jail and live their lives by doing small jobs without knowing what to do next."
The Knight Squad,2014,Action,9.6,"The Russian and Korean mafias begin a bloody fued after a russian informant discovers a dark korean secret. Daniel and Robert become victims in this fued, causing them to take retribution ...                See full summary »"
The Bed-Sitting Room,2016,"Action, Drama, War",9.6,This is a BBC radio play based on the John Antrobus surreal post apocalyptic stage play. Made into a film in 1969.
"Isa para sa lahat, lahat para sa isa",1979,Action,9.6,Add a Plot
Manjakuruvi,2022,Action,9.5,Add a Plot
The Return of Uncle Benon,2011,Action,9.5,Gladwell becomes Madwell and has some badwell guys :)
Young Heroes of Chaotic Time,2022,Action,9.5,"This story is set in Shanghai in the late Qing Dynasty and talks about a young man, Chen Zhen, who rises to become a national hero after enduring hardships and overcoming challenges in life."
Isa lang ang dapat mahalin,1997,"Action, Drama, Romance",9.5,"Vina (Maricel Morales) is a successful lawyer with a happy family life. Her life changes when her car hits Rex (Richard Bonnin), a former criminal waiting to start a new life with his girlfriend."
Swarajya,2011,Action,9.5,Ram Patahre struggles to get finance for his business as everyone believes that Maharashtrian's cant do business.He also feels bad for Marathi people who are facing lot of problems and not ...                See full summary »
The Chronicles of Snakeblade,2019,Action,9.5,"In a future where the terrorists have obtained more and more power, the master Ninja Snakeblade and his allied soldiers must fight the dooming threat before the entire world is left in ashes."
Raka,2021,Action,9.5,Ramakant alias RAKA has built up his anti-social empire with the looted money from the poor people of West Bengal.
Detective Inspector,2022,"Action, Comedy, Crime",9.5,"After the events of The Arsonist (2020), Detective Constable Price (George Everett-Button) and Detective Inspector Newman (Toby Haycock) team up to defend the city from corruption."
Moori,2022,"Action, Drama, Family",9.4,Add a Plot
Di bale na lang,1987,"Action, Comedy, Musical",9.4,This is a musical romantic comedy inspired by Valenciano's hit song.
Veera Prathap,1987,"Action, Adventure, Comedy",9.4,"Veera Pratap is a 1987 Indian Telugu film, directed by B. Vittalacharya and produced by Mohan Babu. The film stars Mohan Babu and Madhavi in lead roles. Music of the film was composed by Shanker Ganesh."
Roadkill,2022,"Action, Drama, Thriller",9.4,A thief operating along the highways of rural Australia gets caught in the crossfires of an ongoing police investigation after he mugs a serial killer.
Kamen Rider Geats × Revice: Movie Battle Royale,2022,"Action, Fantasy",9.4,Add a Plot
The Bond - A Jaron Ikner Film,2022,Action,9.4,Two estranged brothers must fight their way through a pandemic stricken city in an attempt to save their mother and themselves.
Notícias do fim do mundo,2019,Action,9.4,"Following Alexander Taylor, a teacher in the slums of Kibuna, this is a reflection about the modern times, mixing social criticism and cinematic experimentation to reflect about the overconsumption of images, fake news and social media."
Maa Nanna Naxalite,2022,"Action, Drama",9.4,"It is an emotional journey of an aging Naxalite leader Kondarudra Seetharamayya, who wants to meet his son in his last days . Police are in pursuit of him as he eliminated a political personality who is the father of Home minister."
Turning Mecard W: The Secret of Van dine - Special Edition,2018,"Animation, Action, Adventure",9.4,"Birth of powerful mechanimals. The destiny depends upon this battle. Nachan and his friends were spending peaceful days when Dr.Franklin call out them to Triforce. Nachan, Isobel and ...                See full summary »"
Action on NTV: Definitive Edition,2021,"Action, Comedy, Crime",9.4,It all started for non-payment of debts. An authority named Boss and his gang are now trying to lure out of Pushnoy's values in any way. Bandits graze him heavily. The struggle is not for ...                See full summary »
Revenge Strategy,2016,"Action, Crime, Mystery",9.4,A father who has tragically lost his daughter joins forces with a betrayed terrorist to settle a score before the spiral of revenge reaches them.
Rupayi,2023,"Action, Comedy, Drama",9.4,This movie Story rotates between relationships and neediness of money. In story line there are five major characters who fights between money and life. The script is filled with humorous ...                See full summary »
Hot Lead Hard Fury,2018,"Action, Comedy",9.4,"1977: Industrial ghetto ""Steel City"" is under siege from organized crime, corruption, and a new synthetic drug called ""Voodoo Blue"". When news of a drug sting leaks to the wrong people, ...                See full summary »"
Nufarul rosu,1956,Action,9.4,"Screenplay based on the short story ""Nufarul rosu"" by Petre Luscalov."
Hopeless Situation,2022,Action,9.3,"During the Period of the Republic of China, the land was devastated by domestic troubles and foreign aggression. When foreign powers plunder China's cultural relics, revolutionary Liu ...                See full summary »"
Shimmgga,2019,"Action, Drama, Musical",9.3,The movie is narrated in a flashback when Anna's 25 year old son visits the village for the first time and is made aware of the sacrifice of his family to preserve the sanctity of Shimmgga.
Gatilleros del Rio Bravo,1985,"Action, Crime, Drama",9.3,Add a Plot
Doctor Strange: Multiversal Madness,2022,"Action, Mystery, Sci-Fi",9.3,Doctor Strange embarks on a multiversal journey with Brother Voodoo to stop Wanda before its too late.
Love in Ukraine,2022,"Action, Romance",9.3,"When an Indian Student, Aarav, falls in love with a Ukrainian girl, Lizabet, who has been promised to be married to a Mafia family; their innocent one-night stand turns into an epic chase of mayhem and retribution."
Revisiting the Heart,2022,"Action, Drama, Mystery",9.3,"Azia, lead homicide detective returns home after a year in the midst of an escalating murder case. She finds herself entangled in a web of intrigue and deception amongst those in her inner circle as she struggles to uncover the truth."
Padmavyuham,1984,"Action, Drama",9.3,"Soori gets Lakshmi, who is on the run, married to her lover. However, when he later learns that Lakshmi has been raped and murdered by the cruel landlord Jagannath, he sets out to avenge her death."
Srirangapuram,2022,Action,9.3,"Peddi Reddy is a highly revered person in Sri Rangapuram village. He lends help to all the needy in his village and hence is respected by one and all. On the other hand, Konda Reddy from ...                See full summary »"
Cholay,2022,"Action, Romance",9.3,Cholay is social movie featuring love story and prevailing domination in the society which shows that bad action leads to bad results. The film tries to mix different themes as many ...                See full summary »
Kadapa Redamma,1990,Action,9.3,Add a Plot
Star War the Third Gathers: The Backstroke of the West,2010,"Action, Sci-Fi",9.3,Mistranslated fandub of Star Wars: Episode III - Revenge of the Sith (2005).
Manhandlers,2012,"Action, Comedy",9.3,"Two guys desperate for cash open their own muscle-for-hire business. This inadvertently opens a gateway into the heart of the city's seedy underworld. Under constant attack from hitmen, ...                See full summary »"
Di Renjie zhi fen tian yi huo,2020,Action,9.3,Di Renjie heads to Wei Zhou where there were four plague to hold the position of the prefectural governor and in the process he is injured and encounter all sorts of weird incidents.
Memory Lane,2022,"Action, Adventure, Music",9.3,This time travel music adventure follows Arcadia Smith as he discovers he can relive the past and see into the future.
Hank Is Evil: The Movie,2014,"Action, Comedy, Mystery",9.3,"Two years since he became Peoria's number one super villain, Hank finds himself under attack from a mysterious enemy who seems to know exactly how to hurt him."
Utthamma Villian C/0 Mahadevpuram,2022,"Action, Comedy",9.2,Add a Plot
Fight!,2018,"Action, Drama, Thriller",9.2,A struggling writer pens a best seller about a single mother struggling to support her family by getting caught up in the world of underground bare knuckle fighting while her 14 year old adopted daughter searches for her estranged mother.
The Rush Call,2022,"Action, Drama",9.2,"A corporate promotion pushes a suburban dad to choose between creative pursuits and career responsibilities, leading him on an unexpected adventure with surprising consequences for his family."
The Stolen Valley,2022,"Action, Western",9.2,"To save her dying mother, Lupe, a Mexican-Navajo mechanic bands together with an outlaw cowgirl. Together they must travel across the desert, outrun criminals, and confront a corrupt landowner."
Bukunja Tekunja Mitti: The Cannibals,2012,"Action, Horror",9.2,It's an action packed movie
Moondram Athigharam,2022,Action,9.2,Add a Plot
The Memory of A Killer,2019,Action,9.2,Add a Plot
Beat the Bash,1996,"Action, Crime, Drama",9.2,"""Beat the Bash"" is an early PSA (GLAAD, La Pietra Foundation, and MTV) that brings public awareness to gay bashing."
Black Widow: Forever Red Part 1 and 2,2021,"Action, Mystery",9.2,"Black Widow is now a wanted criminal; with the help of Jessica Jones and Daredevil, they have to stop Taskmaster, an enemy who changed her life forever."
Ramayana: The Legend of Prince Rama,1993,"Animation, Action, Adventure",9.2,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
Zerre: Pendekar Ufuk Timur,2021,"Action, Drama",9.2,"Zerre, from rural Papua, dreams of becoming a fighter. He learns silat from Bhumi, a former silat athlete. Living with limitations, Zerre has achievements so that he gets a scholarship to ...                See full summary »"
WWE: Paige - Iconic Matches,2019,"Action, Sport",9.2,"Paige's best WWE matches, including her debut match on RAW vs AJ Lee and her intense NXT fight with Emma."
Pinpoint,2022,"Action, Adventure",9.2,"After discovering John Mosby's ancient, hidden treasure, two teams compete in an exhilarating treasure hunt. The teams join together, after the hunt turns into a survival rather than a game."
Time and Time Again,2013,"Action, Adventure",9.2,"In order to find yourself, sometimes you need to figure how to lose yourself."
Be Somebody,2018,"Action, Crime",9.2,"Richard is a writer who travels from New York City to Detroit, Michigan to complete an overdue novel. Although he is under increasing pressure from his publisher, Richard's daydreaming is ...                See full summary »"
Code 0044,2016,"Action, Crime, Drama",9.2,"Coventry 2012, St George's Day, a couple (George and Erika) decides to get together for the rest of their lives. Some incidents made George to go back to his homeland Greece. After a while ...                See full summary »"
Promise Chronicles - Manifestation,2022,"Action, Adventure, Drama",9.2,"A despairing group of Christian people and non believer's band together during the biblical period known as Tribulation. Not only to survive death, but to escape America. And uncover a ...                See full summary »"
"The LBC: Smile Now, Cry Later",2009,Action,9.2,"Long Beach, California can change from a beautiful place to a deadly one on the turn of a dime. A gangster wannabe (Ivan Djurovic) slips deeper into the criminal underbelly seeking to ...                See full summary »"
Naked Ambition,1970,"Action, Drama",9.1,Ogin is a concubine of a powerful feudal lord (Tayu). The evil woman Ogin tries to gain power by killing all the people who disturb her.
Milunka Savic: Heroine of the Great War,2013,"Action, History",9.1,"Documentary about the life of the most decorated woman warrior of all time, Milunka Savic and her struggles after the end of WW1 in her homeland of Serbia."
Captain of Desert,2020,Action,9.1,Add a Plot
Chillatta,2021,"Action, Comedy, Romance",9.1,Suruttu Sudalai destroys the sacred palm area and builds a Brick Station for his illegal business. Thus Saravanan jumps on the field to retrieve his palm works. Who will win? Suruttu Sudalai. or Saravanan.
The Iridescent,2021,"Action, Crime",9.1,"A group of rogues pull off the heist of the century, but soon enough the mysterious gloom of their invaluable loot creates tension - not only do they have to fend off local law enforcement ...                See full summary »"
The Smoke Master,2022,"Action, Comedy",9.1,"Two brothers and a fistful of friends have to face the Chinese mafia three generations revenge. Counting on The Smoke Master and his unique Cannabis fighting style, they stand a chance. A Stoned Kung-Fu movie."
37th tochka,2019,Action,9.1,"The story of brothers who grew up together at terminal named ""37th tochka"", dealing with a gangster crew and overcoming obstacles in life when they moved to Ulaanbator city."
Pedrito Masangkay: Walang bakas na iniwan,1994,"Action, Crime, Thriller",9.1,Add a Plot
Poka Messiah,2016,Action,9.1,Add a Plot
Deck of Cards,2022,"Action, Adventure, Comedy",9.1,"The king of hearts has disappeared from the Kingdom of Cards, and the Joker and his friends set out on a quest to locate him, but there are other forces at play in the Kingdom, and someone might have an ace up their sleeve."
DJ Wale Babu,2022,"Action, Crime, Drama",9.1,"A village lad goes to the city where he finds the love of his life. Circumstances lead him to work as a DJ but eventually lands in jail. When the situation finally gets under his control, he realizes he is just a mere pawn of a politician."
Aama,1964,"Action, Drama",9.1,"After the dead of his birth mother, the person who joined foreign army for money stays behind in his country to serve his motherland."
Animator vs Animation V,2020,"Animation, Action, Adventure",9.1,"In the final battle, The Chosen One returns to stop his sworn enemy."
The Call,2015,"Action, Thriller",9.1,"Seven years ago a young man murdered his parents, was sent to a mental institute after his departure from it, he returns to his life surrounded by crime, with an insatiable desire for revenge."
Black War: Mission Exteme 2,2023,Action,9.1,A terror leader is making a massive plan to disrupt national stability. ADC Nabid is hunting down the tail of terrorist outfit. But the situation becomes worst when series of attacks occur anonymously.
Nanquan zhi Yingxiong jue qi,2020,"Action, Adventure",9.1,The film mainly focuses on Liu Yamei's fight against opium and justice in order to fulfill her master's last wish.
The Hero Chiyou,2017,Action,9.1,"A stirring and heroic action adventure of Chi You, once the ancestor of all Chinese, who must fight betrayal and for his love to survive."
The Arc,2016,"Action, Crime, Drama",9.1,"A secret organization with a hidden agenda sets in motion the beginning of Armageddon. Governments have been infiltrated, law and order become an illusion, and humanity struggles to hang on...                See full summary »"
I am not a terrorist,2021,Action,9.1,Islam and terrorism have nothing in common. The lack of purpose in life encourages young people to join the radicals. The main goal of the film is to show the audience the reverse side of the romanticized life of ISIS fighters.
Foreign Sarakku,2022,"Action, Thriller",9.1,.Amaran and Harichandran started to show their talent by creating a network called Educated Intellectual Crime Network.
Chidiya Ghar,2022,Action,9.1,Add a Plot
Yaadhum Oore Yaavarum Kelir,2022,"Action, Drama",9.0,Add a Plot
Stabiliti,2022,"Action, Crime, Sci-Fi",9.0,Modern science takes a leap as Indian R&AW agents try to tackle a criminal mastermind who wreaks havoc across the country.
The Universal Quest,2023,"Adventure, Sci-Fi",10.0,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »"
Kalpvariksha (Part One): Paramchakra,2022,"Adventure, Thriller",9.9,Vinayak found his way to attain the powers of Kalpvariksha through Paramchakra but there were adverse consequences
Buried in Tucson,2007,"Adventure, Drama",9.8,"Anton and Lena have a simple, self-obsessed relationship till a chance opportunity falls into their path, $980,000 buried in the desert. As they get closer to their dreams, a world of lies,...                See full summary »"
Prince Oak Oakleyski: Lord Kandanai Maneesawath,2022,"Adventure, Biography, History",9.8,"Biography of his early life, team history, and exciting adventure of Prince Oak Oakleyski a.k.a. Lord Kandanai Maneesawath in real life movie. This movie demonstrates many aspects of how Prince Oak Oakleyski unveiled himself."
La Canne du Roi,2021,Adventure,9.8,"Ola and Tagla find the Recade of the King Shark, a very powerful and coveted ancient artifact that disappeared when the King died. Their only hope is to bring the recade back to Loko the new King of Danxomey."
Tutankhamun: Enter the Tomb,2019,"Adventure, History",9.7,Add a Plot
Unpacking,2022,Adventure,9.6,"Six American women, sold on the promise of radical transformation, travel to Bali into the hands of an Instagram-like guru and her Indonesian assistant, and get slapped with reality: change is messy AF."
La Muerte De Un Federal,2019,"Crime, Adventure, Action",9.6,Add a Plot
The Silent e,2013,"Animation, Adventure, Family",9.5,"The Silent e is an epic adventure of a letter 'e' who can't speak but must find his parents in the Times New Roman Empire. Led by the Evil 4, the Arial Race commences genocide on all Times ...                See full summary »"
Welcome to Balkan,2022,"Adventure, Comedy",9.5,Add a Plot
My Journey: Mencari Mata Air,2016,Adventure,9.5,"Four young people; Chinta, Cindy, Tasya and Celine intend to fill their holidays with friends come from New York named Lucas who are interested in the environment, especially the water ...                See full synopsis »"
House of Cards: Rust,2021,"Adventure, Thriller",9.4,Betrayal and vengeance come crashing down when Frost is accidentally plunged into a secret organization. All within a game called: Rust.
Veera Prathap,1987,"Action, Adventure, Comedy",9.4,"Veera Pratap is a 1987 Indian Telugu film, directed by B. Vittalacharya and produced by Mohan Babu. The film stars Mohan Babu and Madhavi in lead roles. Music of the film was composed by Shanker Ganesh."
Turning Mecard W: The Secret of Van dine - Special Edition,2018,"Animation, Action, Adventure",9.4,"Birth of powerful mechanimals. The destiny depends upon this battle. Nachan and his friends were spending peaceful days when Dr.Franklin call out them to Triforce. Nachan, Isobel and ...                See full summary »"
Sachin: The Ultimate Winner,2023,Adventure,9.4,A school boy named Sachin wants to be a successful cricketer like Sachin Tendulkar. Unfortunately Sachin meets with an accident and gets paralyzed. Will he make a full recovery and become a cricketer?
Halcyon Dreams,2016,"Adventure, Drama, Fantasy",9.4,"A group of interconnected individuals are on a journey of various 'states' of heaven, hell and purgatory to rediscover their lost childhood dreams and aspirations."
Mr. Local Man,2019,Adventure,9.4,"Nhwale(Josephs Quartzy), a young villager of a bushman ancestry was lost in a town where he was brought by accident while he entered the foreign van who were hunting in their home forest."
Gandhada Gudi,2022,"Adventure, Family, Musical",9.4,"An epic musical celebration of India's blessed land, precious culture and incredible stories at an unprecedented scale, complete with songs and the beauty of nature."
The Sea Falling for the Blues,2015,"Adventure, Drama",9.4,"A young woman meets a young fisherman on a beautiful deserted beach. They spend the day discussing, swimming and playing in the water. While he sleeps on the beach, she leaves the scene and walks slowly away on the beach."
Juan Balucas at ang Bayabas,2018,"Adventure, Comedy, Fantasy",9.4,"Juan Balucas at ang Bayabas features Nourish ""Icon"" Lapus, as JUAN BALUCAS, the son of JOHN (Archie Alemania) who has been mistaken to be Juan Tamad and turned into stone by the mystical ...                See full summary »"
Memory Lane,2022,"Action, Adventure, Music",9.3,This time travel music adventure follows Arcadia Smith as he discovers he can relive the past and see into the future.
The Wind & the Reckoning,2022,"Adventure, Drama, History",9.3,"As an outbreak of leprosy engulfs 19th-century colonial Hawai'i, a small group of infected Native Hawaiians resist government-mandated exile, taking a courageous stand against the provisional government. Inspired by real-life events."
Vila Redstone - O Filme,2021,"Adventure, Comedy",9.3,"Internet success between 2016 and 2017, review the best moments of one of Redstone Gang's biggest series."
The Tesla Case,2022,"Adventure, Comedy, Family",9.3,"""The Tesla Case"" is a contemporary story about Tony and Raya, already turned 12, who remained good friends after their misadventures in ""The Curie Case"" movie. Aspiring young ""inventor"" ...                See full summary »"
Ramayana: The Legend of Prince Rama,1993,"Animation, Action, Adventure",9.2,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
Pinpoint,2022,"Action, Adventure",9.2,"After discovering John Mosby's ancient, hidden treasure, two teams compete in an exhilarating treasure hunt. The teams join together, after the hunt turns into a survival rather than a game."
Cervino - la montagna del mondo,2015,"Adventure, History",9.2,"Sitting in a mysterious theatre in the city, a young man dreams to climb the Matterhorn along the classic Italian way opened by J.A. Carrel in 1865. A marvelous journey through the folds of...                See full summary »"
Promise Chronicles - Manifestation,2022,"Action, Adventure, Drama",9.2,"A despairing group of Christian people and non believer's band together during the biblical period known as Tribulation. Not only to survive death, but to escape America. And uncover a ...                See full summary »"
The Lost Mantle of Elijah,2013,"Adventure, Comedy, Drama",9.2,The spirit of a murdered king gives Kai the cloak of Miracles to raise him from the dead. Kai discovers that working miracles is not as easy as he imagines.
Time and Time Again,2013,"Action, Adventure",9.2,"In order to find yourself, sometimes you need to figure how to lose yourself."
Route 66,2019,Adventure,9.2,"Four boys from Leeds, England dreamt of this day for over a decade. Now, in the peak of their mid (not late) 20's, they embark on the most famous commute planet earth has to offer. They laugh. They Cry. They fall out. They make up."
Daman,2022,"Adventure, Drama",9.2,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication."
Inside the Belly of a Dragon,2016,Adventure,9.2,"Inside the Belly of a Dragon follows a remarkable voyage of discovery and recovery for the renowned Irish Clown, Hugh W Brown. Arriving in Cambodia broken hearted and disenchanted with life...                See full summary »"
The Big Gift,2022,"Adventure, Comedy",9.2,Add a Plot
Supreme Motherhood: The Journey of Mata Sahib Kaur,2022,"Animation, Adventure, History",9.2,"The story of Mata Sahib Kaur Ji, also known as the Mother of the Khalsa, as she became a strong female leader of the Khalsa nation in 17th and 18th-century India."
Constant Angel,2013,"Adventure, Drama, Romance",9.2,"CONSTANT ANGEL tells the story of Andrew longing for the one thing that gives him purpose, Sophia, but she doesn't seem to be returning his feelings. Taking a difficult and divergent path, ...                See full summary »"
Animator vs Animation V,2020,"Animation, Action, Adventure",9.1,"In the final battle, The Chosen One returns to stop his sworn enemy."
Once Upon a Time in Jamaligudda,2022,"Adventure, Drama",9.1,"Set in the 1990s, a protagonist lands in jail because of some scandal. Inside the prison He meets a man who was a dreaded criminal. Both seem to have a trick to escape from prison, and they...                See full summary »"
The V: Return of the Galaxy,2013,Adventure,9.1,"Professor Engfield discovers a hidden, fairy-like land that can grant him anything he wishes for. Only the chosen one, 'The V', can stop Engfield and his secret agents from misusing this ultimate power."
Deck of Cards,2022,"Action, Adventure, Comedy",9.1,"The king of hearts has disappeared from the Kingdom of Cards, and the Joker and his friends set out on a quest to locate him, but there are other forces at play in the Kingdom, and someone might have an ace up their sleeve."
Melvik,2016,"Adventure, Fantasy",9.1,"Elthor, the prince of Bedwill, is captured during a city invasion and taken to a mysterious place. He must find out who did this and where he is. In his journey, he makes a lot of ...                See full summary »"
Nanquan zhi Yingxiong jue qi,2020,"Action, Adventure",9.1,The film mainly focuses on Liu Yamei's fight against opium and justice in order to fulfill her master's last wish.
James Potter and the Hall of Elders Crossing,2009,"Adventure, Fantasy",9.0,"James Potter, the son of the world-famous wizard Harry Potter, starts his first year at Hogwarts School of Witchcraft and Wizardry, and meets new friends Ralph Deedle and Zane Walker, with ...                See full summary »"
Raqsat errihu,2003,"Adventure, Drama, Fantasy",9.0,"A filmmaker who travels to the South of Tunisia for a scout mission for his film project, get stranded in the Sahara."
DeMonD the movie,2021,Adventure,9.0,Demond the movie is a live action movie adaption of demond comics comic books made in 2021. this story is the journey of one man that was caught in between a war between two demi gods over the mythical and powerful cup of haties.
Daming Jinyiwei,2016,"Action, Adventure",9.0,Add a Plot
The Majesty of Mavis,2005,"Adventure, Comedy",9.0,Chaos is spreading through The Valley. The Book Of Mavis is lost and The Council of Mavis fear an unknown power may be using it for evil. The seemingly heroic acts of Draygon the brave's ...                See full summary »
Le Clandestin,1989,"Adventure, Comedy, Family",9.0,a story about a group of people trying to travel to Algiers but the problem is in the way of travel as all the buses that pass are completely filled and no one wants to take them. then ...                See full summary »
The Fate of Cysalion,2022,"Adventure, Fantasy, Musical",9.0,"The Fate of Cysalion is a live-action musical that blurs the line between film and theatre. It is the centerpiece of a high fantasy saga that tells an epochal story of heroes, villains and ancient powers."
No Eixo da Morte,1998,Adventure,9.0,Add a Plot
Simanto Periye,2010,Adventure,9.0,"A girl name sakina, braved wire fencing at the international border. And entered India. After being tortured by some Muslim guys there. She took shelter in a Hindu family in India. Trouble ...                See full summary »"
Pub Crawl,2012,"Adventure, Comedy, Thriller",9.0,"It's a movie about a Pub Crawl in Edinburgh, Scotland. It takes place in a one day period on the day of the Grand National. Old friends relive the days and memories of their youth."
The Ultimate Rally,2018,"Adventure, Mystery, Thriller",9.0,"Racing for the ultimate bet through the most dangerous tarmac roads and off-road trails in the Americas, Europe, and Scandinavia."
Within Sand,2022,"Adventure, Drama, Mystery",9.0,"When ""Snam"" gets ambushed by a group of thieves, he finds himself lost in the Saudi desert. While his pregnant wife, Halla, faces the men of the tribe to ensure his return, he finds himself being followed by a lone wolf."
Neko,2017,"Action, Adventure, Thriller",9.0,"Two guys are moving in a small village called 'Purea' to undertake a screenwrite course, but there's something really special and magical about this place where weird characters come from other worlds."
A Group of Rapscallions Obsess Over A Mod Crafted (Lovingly) By Gerald,2022,"Action, Adventure, Comedy",9.0,"Jaiden, Ryder, Lucas, and Max, as well as another, familiar friend, all enter another side of Garry's Mod: Gerald's Mod."
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Dipu Number 2,1996,"Adventure, Family",8.9,An adventure story for young boys.
1997,2021,Adventure,8.9,Vikram Rathod(Dr. Mohan) is a sincere police officer who is transferred to the Nizampeta village to control the atrocities that are happening there.
Tobot Movie: Attack of Robot Force,2017,"Animation, Action, Adventure",8.9,"Doctor Franklin and his 2 sons, Ryan, and Kory go over to Jeju Island on their holidays. When a robot army comes to Jeju Island and starts to attack humans, it's up to the Tobots to stop them."
Desert,2016,"Adventure, Drama, History",8.9,This is the longer feature version of the film Desert.
The Message,1976,"Action, Adventure, Biography",8.9,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah."""
777 Charlie,2022,"Adventure, Comedy, Drama",8.9,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
Super Mario Bros. Z 4K,2020,"Animation, Action, Adventure",8.9,The complete original Super Mario Bros. Z series remastered in 4K video quality in one video.
The Haunted House: The Sky Ghost vs Jormungandr,2019,"Animation, Action, Adventure",8.9,Add a Plot
Planet of the Astronauts,2022,"Adventure, Comedy, Sci-Fi",8.9,"Justin Souriau-Levine Studio's most recent production is a fun-filled adventurous comedy about three lovable astronauts who return to Earth after a failed mission to Uranus, and four years ...                See full summary »"
Wilde Clique,1983,Adventure,8.9,Add a Plot
The Liq,2016,Adventure,8.9,Add a Plot
3 Bahadur: Rise of the Warriors,2018,"Animation, Action, Adventure",8.9,"In a safe, peaceful town with all the villains put behind bars--thanks to our heroes--the kids are going about their lives like other children, at times finding controlling their powers ...                See full summary »"
Trunk Train: The Movie,2022,"Animation, Adventure, Comedy",8.9,"Gajah, an elephant with no memory, is turned into a celebrity overnight. Stardom is short-lived as it ends up becoming the main suspect in mysterious abductions."
