movie_name,year,genre,rating,description
Masand,2022,Action,9.7,"Based on true events, the film revolves around Masands who committed crimes during 1980 to 2010 in Punjab. They burnt families alive, raped and killed innocent children. Their rising terror spoiled the atmosphere in Punjab."
Lakhey,2022,"Action, Thriller",9.6,"Sameer Maharjan, born in a family Lakhey, is a bank manager. He regards Lakhey as Lord Indra and the protector of the community. His professional and family life is ruined as he gets ...                See full summary »"
King B.'s ROOST the Sequel,2010,"Action, Crime",9.6,"The Gang is back well, at least the Mob is. Follow Alex ""Candyman"" Sims as he tries to navigate the Chicago Mob and escape with his life."
La Muerte De Un Federal,2019,"Crime, Adventure, Action",9.6,Add a Plot
Shura no sekai,2022,Action,9.6,"A yakuza movie starring Koji Matoba, depicting the lives of men left behind in the times. At the Yokohama-based Ninkyo Yamaguchi-gumi, the drug business is legal according to the teachings ...                See full summary »"
Aye Bujji Neeku Nene,2022,"Action, Comedy, Drama",9.6,"The movie revolves around a go-lucky boy Uday, who lives with his mother and loves her very much. Life turns apart when his mother asks him to love a girl and bring her as her daughter-in- ...                See full summary »"
Shambho Shiva Shankara,2022,"Action, Thriller",9.6,"Three boys, Shambhu Shiva Shankar, who have been sentenced as juvenile delinquents, come out of jail and live their lives by doing small jobs without knowing what to do next."
The Knight Squad,2014,Action,9.6,"The Russian and Korean mafias begin a bloody fued after a russian informant discovers a dark korean secret. Daniel and Robert become victims in this fued, causing them to take retribution ...                See full summary »"
The Bed-Sitting Room,2016,"Action, Drama, War",9.6,This is a BBC radio play based on the John Antrobus surreal post apocalyptic stage play. Made into a film in 1969.
"Isa para sa lahat, lahat para sa isa",1979,Action,9.6,Add a Plot
Manjakuruvi,2022,Action,9.5,Add a Plot
The Return of Uncle Benon,2011,Action,9.5,Gladwell becomes Madwell and has some badwell guys :)
Young Heroes of Chaotic Time,2022,Action,9.5,"This story is set in Shanghai in the late Qing Dynasty and talks about a young man, Chen Zhen, who rises to become a national hero after enduring hardships and overcoming challenges in life."
Isa lang ang dapat mahalin,1997,"Action, Drama, Romance",9.5,"Vina (Maricel Morales) is a successful lawyer with a happy family life. Her life changes when her car hits Rex (Richard Bonnin), a former criminal waiting to start a new life with his girlfriend."
Swarajya,2011,Action,9.5,Ram Patahre struggles to get finance for his business as everyone believes that Maharashtrian's cant do business.He also feels bad for Marathi people who are facing lot of problems and not ...                See full summary »
The Chronicles of Snakeblade,2019,Action,9.5,"In a future where the terrorists have obtained more and more power, the master Ninja Snakeblade and his allied soldiers must fight the dooming threat before the entire world is left in ashes."
Raka,2021,Action,9.5,Ramakant alias RAKA has built up his anti-social empire with the looted money from the poor people of West Bengal.
Detective Inspector,2022,"Action, Comedy, Crime",9.5,"After the events of The Arsonist (2020), Detective Constable Price (George Everett-Button) and Detective Inspector Newman (Toby Haycock) team up to defend the city from corruption."
The Universal Quest,2023,"Adventure, Sci-Fi",10.0,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »"
Kalpvariksha (Part One): Paramchakra,2022,"Adventure, Thriller",9.9,Vinayak found his way to attain the powers of Kalpvariksha through Paramchakra but there were adverse consequences
Buried in Tucson,2007,"Adventure, Drama",9.8,"Anton and Lena have a simple, self-obsessed relationship till a chance opportunity falls into their path, $980,000 buried in the desert. As they get closer to their dreams, a world of lies,...                See full summary »"
Prince Oak Oakleyski: Lord Kandanai Maneesawath,2022,"Adventure, Biography, History",9.8,"Biography of his early life, team history, and exciting adventure of Prince Oak Oakleyski a.k.a. Lord Kandanai Maneesawath in real life movie. This movie demonstrates many aspects of how Prince Oak Oakleyski unveiled himself."
La Canne du Roi,2021,Adventure,9.8,"Ola and Tagla find the Recade of the King Shark, a very powerful and coveted ancient artifact that disappeared when the King died. Their only hope is to bring the recade back to Loko the new King of Danxomey."
Tutankhamun: Enter the Tomb,2019,"Adventure, History",9.7,Add a Plot
Unpacking,2022,Adventure,9.6,"Six American women, sold on the promise of radical transformation, travel to Bali into the hands of an Instagram-like guru and her Indonesian assistant, and get slapped with reality: change is messy AF."
La Muerte De Un Federal,2019,"Crime, Adventure, Action",9.6,Add a Plot
The Silent e,2013,"Animation, Adventure, Family",9.5,"The Silent e is an epic adventure of a letter 'e' who can't speak but must find his parents in the Times New Roman Empire. Led by the Evil 4, the Arial Race commences genocide on all Times ...                See full summary »"
Welcome to Balkan,2022,"Adventure, Comedy",9.5,Add a Plot
My Journey: Mencari Mata Air,2016,Adventure,9.5,"Four young people; Chinta, Cindy, Tasya and Celine intend to fill their holidays with friends come from New York named Lucas who are interested in the environment, especially the water ...                See full synopsis »"
House of Cards: Rust,2021,"Adventure, Thriller",9.4,Betrayal and vengeance come crashing down when Frost is accidentally plunged into a secret organization. All within a game called: Rust.
Veera Prathap,1987,"Action, Adventure, Comedy",9.4,"Veera Pratap is a 1987 Indian Telugu film, directed by B. Vittalacharya and produced by Mohan Babu. The film stars Mohan Babu and Madhavi in lead roles. Music of the film was composed by Shanker Ganesh."
Turning Mecard W: The Secret of Van dine - Special Edition,2018,"Animation, Action, Adventure",9.4,"Birth of powerful mechanimals. The destiny depends upon this battle. Nachan and his friends were spending peaceful days when Dr.Franklin call out them to Triforce. Nachan, Isobel and ...                See full summary »"
Sachin: The Ultimate Winner,2023,Adventure,9.4,A school boy named Sachin wants to be a successful cricketer like Sachin Tendulkar. Unfortunately Sachin meets with an accident and gets paralyzed. Will he make a full recovery and become a cricketer?
Halcyon Dreams,2016,"Adventure, Drama, Fantasy",9.4,"A group of interconnected individuals are on a journey of various 'states' of heaven, hell and purgatory to rediscover their lost childhood dreams and aspirations."
Mr. Local Man,2019,Adventure,9.4,"Nhwale(Josephs Quartzy), a young villager of a bushman ancestry was lost in a town where he was brought by accident while he entered the foreign van who were hunting in their home forest."
Gandhada Gudi,2022,"Adventure, Family, Musical",9.4,"An epic musical celebration of India's blessed land, precious culture and incredible stories at an unprecedented scale, complete with songs and the beauty of nature."
The Sea Falling for the Blues,2015,"Adventure, Drama",9.4,"A young woman meets a young fisherman on a beautiful deserted beach. They spend the day discussing, swimming and playing in the water. While he sleeps on the beach, she leaves the scene and walks slowly away on the beach."
Juan Balucas at ang Bayabas,2018,"Adventure, Comedy, Fantasy",9.4,"Juan Balucas at ang Bayabas features Nourish ""Icon"" Lapus, as JUAN BALUCAS, the son of JOHN (Archie Alemania) who has been mistaken to be Juan Tamad and turned into stone by the mystical ...                See full summary »"
Memory Lane,2022,"Action, Adventure, Music",9.3,This time travel music adventure follows Arcadia Smith as he discovers he can relive the past and see into the future.
The Wind & the Reckoning,2022,"Adventure, Drama, History",9.3,"As an outbreak of leprosy engulfs 19th-century colonial Hawai'i, a small group of infected Native Hawaiians resist government-mandated exile, taking a courageous stand against the provisional government. Inspired by real-life events."
Vila Redstone - O Filme,2021,"Adventure, Comedy",9.3,"Internet success between 2016 and 2017, review the best moments of one of Redstone Gang's biggest series."
The Tesla Case,2022,"Adventure, Comedy, Family",9.3,"""The Tesla Case"" is a contemporary story about Tony and Raya, already turned 12, who remained good friends after their misadventures in ""The Curie Case"" movie. Aspiring young ""inventor"" ...                See full summary »"
Ramayana: The Legend of Prince Rama,1993,"Animation, Action, Adventure",9.2,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
Pinpoint,2022,"Action, Adventure",9.2,"After discovering John Mosby's ancient, hidden treasure, two teams compete in an exhilarating treasure hunt. The teams join together, after the hunt turns into a survival rather than a game."
Cervino - la montagna del mondo,2015,"Adventure, History",9.2,"Sitting in a mysterious theatre in the city, a young man dreams to climb the Matterhorn along the classic Italian way opened by J.A. Carrel in 1865. A marvelous journey through the folds of...                See full summary »"
Promise Chronicles - Manifestation,2022,"Action, Adventure, Drama",9.2,"A despairing group of Christian people and non believer's band together during the biblical period known as Tribulation. Not only to survive death, but to escape America. And uncover a ...                See full summary »"
The Lost Mantle of Elijah,2013,"Adventure, Comedy, Drama",9.2,The spirit of a murdered king gives Kai the cloak of Miracles to raise him from the dead. Kai discovers that working miracles is not as easy as he imagines.
Time and Time Again,2013,"Action, Adventure",9.2,"In order to find yourself, sometimes you need to figure how to lose yourself."
Lemon man vs the Multiverse,2023,"Animation, Action, Sci-Fi",9.7,"When the hero Lemon man gets sucked into a portal, he has to team up with different versions of himself to save the Multiverse from the deadly villain Broken hyena after he promised his ...                See full summary »"
Doraemon the Movie: Nobita's Sky Utopia,2023,"Animation, Adventure, Comedy",9.7,"The film will be set in a perfect world in the sky, where everyone lives happily. Doraemon and Nobita set out on an adventure to find the utopia with the help of a new gadget of Doraemon."
Turning Mecard W: The Secret of Van dine - Special Edition,2018,"Animation, Action, Adventure",9.6,"Birth of powerful mechanimals. The destiny depends upon this battle. Nachan and his friends were spending peaceful days when Dr.Franklin call out them to Triforce. Nachan, Isobel and ...                See full summary »"
Emesis Blue,2023,"Animation, Horror",9.6,"When an executive of the BLU Corporation mysteriously vanishes in Mortem, New Mexico, a private detective and washed-up war veteran team up to find him, yet the man they hunt is more dangerous than they can possibly imagine."
The Silent e,2013,"Animation, Adventure, Family",9.5,"The Silent e is an epic adventure of a letter 'e' who can't speak but must find his parents in the Times New Roman Empire. Led by the Evil 4, the Arial Race commences genocide on all Times ...                See full summary »"
Super Bheem Fire and Ice,2016,Animation,9.4,"At the coronation ceremony of the Fire Prince, an evil queen turns out to be Snow Queen, the arch enemy of Fire Nation. She snatches the special firestone from the king and unleashes her ...                See full summary »"
North Wind: Broken Time,2020,Animation,9.4,"The story draws inspiration from real historical battles, which pitted Chinese forces against the Islamic Abbasid Caliphate and Tibetan Empire in Central Asia."
The Secret Princess,2016,Animation,9.4,A prince falls in love with a mysterious girl unaware she is a princess that was switched for him at birth. A king wary of his crown and seeking for a male child to heir the throne led to a...                See full summary »
The Luther Blissett Legacy,2022,Animation,9.3,A collection of 428 video artworks created by ARTOLDO crypto in memory of the super folk hero Luther Blissett (1994-1999). The work reflects on the different selves of the Luther Blissett ...                See full summary »
Ramayana: The Legend of Prince Rama,1993,"Animation, Action, Adventure",9.2,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
Supreme Motherhood: The Journey of Mata Sahib Kaur,2022,"Animation, Adventure, History",9.2,"The story of Mata Sahib Kaur Ji, also known as the Mother of the Khalsa, as she became a strong female leader of the Khalsa nation in 17th and 18th-century India."
Spooky Month - The Stars,2019,"Animation, Comedy, Horror",9.2,It's Spooky Month! This Time Skid and Pump meet a new friend. And he can show them the stars.
Argentina Animada,2018,Animation,9.2,"A 3D animated dragon has become a 2D character. During his searching to be again himself, he discovers fragments of historical argentine animation, new friends and important lessons."
Doraleous and Associates,2010,Animation,9.1,In the magical territory of Nudonia (a land of many kingdoms) resides a small band of warriors called Doraleous and Associates who challenge the forces of evil. Outnumbered and out-weaponed...                See full summary »
Taxidrome,2021,Animation,9.1,"To fly a - way from/out of death, don't hire a taxidermist but take a ride in this taxidrome. Series of 41 Moving Images - this analogy is possible being conservation at its core rescuing ...                See full summary »"
Animator vs. Animation V,2020,"Animation, Action, Adventure",9.1,"In the final battle, The Chosen One returns to stop his sworn enemy."
Kek - The Movie,2021,"Animation, Comedy",9.0,"Kek, a story of pain, pain pills, drug addiction, nuking San Antonio Texas, sex with your morther, cum, and big chungus."
The Complete Works of Yuri Norstein,2005,Animation,9.0,"Yuri Norstein's incredible cutout animations are all assorted in this movie. From children to adults, anybody would enjoy it with the painstaking but such a rewarding cutout animation maybe only Russians could be able to make."
Shrimad Rajchandra,2021,"Animation, Biography, Family",9.0,The life journey of a boy with extraordinary powers who grows up to become a man ahead of his times. From humble beginnings as Laxminandan to path-breaking influence as Shrimad Rajchandra over the lives of millions including Mahatma Gandhi
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,"Animation, Action, Fantasy",8.9,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.
The Last Time,2016,"Animation, Drama, Thriller",8.9,"THE LAST TIME depicts the story of Jasmine and Justin Brimly, a modern-day power couple whose seemingly perfect life contradicts their private encounters with domestic abuse. The film ...                See full summary »"
The Haunted House: The Sky Ghost vs Jormungandr,2019,"Animation, Action, Adventure",8.9,Add a Plot
Tobot Movie: Attack of Robot Force,2017,"Animation, Action, Adventure",8.9,"Doctor Franklin and his 2 sons, Ryan, and Kory go over to Jeju Island on their holidays. When a robot army comes to Jeju Island and starts to attack humans, it's up to the Tobots to stop them."
The Scratch Saga,2019,Animation,8.9,"As Gobo prepares the Scratch community for the opening of 3.0, the Scratchers must team up to prevent a potential catastrophe."
Vordum: Price of Death,2018,"Animation, Action, Fantasy",8.9,A group of strangers in a mysterious arena fight for their lives against cunning and unpredictable foes in order for each to achieve their desires in a test of Truth and Will in a callous and bloody challenge set by the Gods.
Ramayan (Motzoid),2022,Animation,8.9,Ramayan 2022 is an upcoming Hindi animation Devotional film produced by Motzoid and Dhumik Pravin The film is based on Ramayana by Valmiki The film is like 'Ramayana: The Legend of Prince ...                See full summary »
Super Mario Bros. Z 4K,2020,"Animation, Action, Adventure",8.9,The complete original Super Mario Bros. Z series remastered in 4K video quality in one video.
Krishna - The Birth,2006,Animation,8.8,Krishna - The Birth is the enchanting tale of the miraculous birth of Lord Vishnu in the form of baby Krishna to Vasudev and Devaki. The story is set in an era when the human race was ...                See full summary »
Fabulous Furry Freak Brothers,2000,Animation,8.8,An animated adaptation of the underground stoner comic created by Gilbert Shelton.
Trunk Train: The Movie,2022,"Animation, Adventure, Comedy",8.8,"Gajah, an elephant with no memory, is turned into a celebrity overnight. Stardom is short-lived as it ends up becoming the main suspect in mysterious abductions."
Sueños Ilegales,2022,"Biography, Drama",9.8,"Dreaming of a better life, two brothers from El Salvador cross the border. But their paths diverge with one headed for success, the other for tragedy."
Chaurasi Puja,2022,"Biography, Drama, History",9.8,Add a Plot
Viratapura Viraagi,2023,Biography,9.8,A spiritual journal of a divine person.
Prince Oak Oakleyski: Lord Kandanai Maneesawath,2022,"Adventure, Biography, History",9.8,"Biography of his early life, team history, and exciting adventure of Prince Oak Oakleyski a.k.a. Lord Kandanai Maneesawath in real life movie. This movie demonstrates many aspects of how Prince Oak Oakleyski unveiled himself."
Prince of Eurasia,2022,"Action, Biography, History",9.7,"Rare historical biography of Prince Oak Oakleyski was encapsulated in this movie. Filming mainly in Uzbekistan, the original homeland of royal ancestry of Prince Oak Oakleyski. Some dust-up actions were brought into play for zest."
Real Emperor Kandanai Maneesawath,2022,"Biography, Comedy, War",9.7,"Thorny biological film about war. Uprising of people were rebellions trying to mock Prince Oak Oakleyski in comedy manner. Since Prince Oak Oakleyski is the Real Emperor Kandanai Maneesawath of Eurasia, there were few people defying him."
Lo spirito del serchio,2009,"Biography, History",9.7,"An Italian documentary film, interviews Gino Birindelli and explores the history of the Adverters of the Queen of the Queen of the Navy during the Second World War."
Lata Bhagwan Kare,2020,"Biography, Drama",9.6,To save her husband from fatal condition 65 years old women participate and won in Exclusive Marathon.
Mata,2022,"Biography, Comedy",9.5,"In 2012, Santosh traveled all over Karnataka on his bike, visited 5000 villages and more than 10000 monasteries. mata film is Based on the life changing events occurred during these five hundred and ninety-seven days of continuous travel."
From Segregation to Justice,2022,Biography,9.5,"Based on True Events, ""From Segregation to Justice"" The J.A. and Mattie De Laine Lecture Film will portray the events that led to the landmark court case of Briggs V. Elliot through the perspective of J.A. and Mattie De Laine."
Me Vasantrao,2021,Biography,9.4,"Vasantrao is the biography of the classical Hindustani nonconformist Vasantrao Deshpande. Born in a village in Vidarbha, Maharashtra and then raised unaided by his mother in Nagpur, ...                See full summary »"
Ibn Hanbal,2017,"Biography, History",9.4,Add a Plot
La vera storia di Mamma Lucia,2015,"Biography, Drama",9.4,"Set during the Second World War, is the story of Lucia Apicella, woman who dedicated himself to find the remains of the fallen soldiers, and then put them back together in boxes of zinc and...                See full summary »"
Life of St. Paul Series,1949,"Biography, Drama, History",9.4,The life of Apostle Paul from the New Testament. This extremely rare and hard to find film chronicles Saul of Taurus as he becomes born again as Paul the Apostle.
Secrets of love (SOL),2023,Biography,9.4,Add a Plot
Om Shri Satya Sai Baba,2021,Biography,9.4,Satya Sai Baba was a renowned religious guru and Producer Balkrishn Shrivastav and director Vicky Ranawat have come together to make a biopic on him. The film will release on January 22 all...                See full synopsis »
Antaryatri Mahapurush (The Walking God),2022,Biography,9.4,"The film ""Antaryatri Mahapurush (The Walking God)"" is the life journey of Digambar Sant Acharya Vidya Sagar Ji Maharaj,.The film covers the story of his childhood till attaining the ...                See full summary »"
Mahatma Phule,1954,Biography,9.3,A biopic based on the life of social reformer and revolutionary activist Jyotirao Govindrao Phule - who aspired to attain equality for the people and was considered a pioneer of women's education.
Delta Justice: The Islenos Trappers War,2015,Biography,9.3,"A little-known historical event that happened in South Louisiana in 1926, The Trappers War was a blood feud that erupted between local Islenos (original Canary Island immigrants) and ...                See full summary »"
Our Catherine,2018,"Biography, Drama, History",9.3,"Set in modern day South Shields, County Durham, young English author Catherine Cookson is transported from the 1920s and returns to her hometown."
Kaali Maati,2021,Biography,9.3,"This is a biopic of a farmer, who yield harvest of gold from the black soil,he tilled the soil so well that a loss making farmland transformed into successful turnover of 400 Crores."
Your Brother. Remember?,2012,"Biography, Comedy, Drama",9.2,"Twenty years in the making, this drama/documentary uses home movies, re-re-creations, and Hollywood film footage in a hilarious and poignant attempt at sibling reconciliation, with the spiritual guidance of Jean-Claude Van Damme."
Tell Me Love Is Real,2016,"Biography, Comedy, Drama",9.2,"In the Winter of 2012, two famous artists sat in anonymous hotel rooms, and in a bizarre coincidence, over-dosed on Xanax. One, Whitney Houston, tragically died, and the other--the author of this piece--lived."
Tell Me a Story: the Life of J.L. Tramel,2016,Biography,9.2,"Filmmaker Clayton Tramel chronicles the hilarious, touching, and extraordinary life of his grandfather J.L. Tramel through interviews with the man himself, and those who knew him best."
The Recreation of the English Deerhound,2021,Biography,9.2,"The English Deerhound was an extinct breed, lost to the historical fields of England. David Platts had a vision, to recreate the English Deerhound, dragging the breed back through the fossil records for it once again to walk the earth."
The Price of Power: William Goebel the Man and the Myth,2009,"Biography, History",9.2,Add a Plot
Portugal: A Luta em Tempos de Crise!,2022,"Biography, History, War",9.1,"A documentary film full of action and drama that portrays the Portuguese succession crisis, one of the greatest battles in History famous for its war strategy, intrigues and manipulations in the 14th-century court."
Wendo Musaly,2020,"Biography, Drama, History",9.1,"Wendo Musaly, is a Congolese actor, singer, songwriter, and dancer. Born on November 21/1996, in South Kivu in Democratic Republic of Congo (DRC)."
A colpi di pedali,2022,Biography,9.1,The biography of entrepreneur Gianfranco Librandi from entry into politics to the election in Parliament until the creation of the group reformist.
Wage,2017,"Biography, Drama, History",9.1,"Wage is a biopic movie about the creator of the national anthem of Indonesia titled Indonesia Raya (The Great Indonesia), Wage Rudolf Soepratman."
Invisible Hacker,2023.0,"Action, Sci-Fi",10.0,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »"
The Universal Quest,2023.0,"Adventure, Sci-Fi",10.0,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »"
She Inherited Danger,2022.0,Thriller,10.0,Add a Plot
The Universal Quest,2023.0,"Adventure, Sci-Fi",10.0,"""The Universal Quest"" is a sci-fi epic that takes the audience on a thrilling journey through the vast reaches of space. The film explores the mysteries of the universe and the search for ...                See full summary »"
Invisible Hacker,2023.0,"Action, Sci-Fi",10.0,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »"
Time's Paradox,2023.0,"History, Sci-Fi",10.0,"""Time's Paradox"" follows Juwel Chowdhury, a young and ambitious scientist, as he joins forces with the fearless time traveler, Ricky Riyaf. Together, they embark on a dangerous mission to ...                See full summary »"
Tahanan (Home),2022.0,"Drama, Romance",10.0,"After being forced to move to the United States due to financial struggles, a young Filipino boy named Jerome questions what home really means to him."
Don Cutting 2,2021.0,Romance,10.0,Add a Plot
The Puzzling Secret,2020.0,Mystery,10.0,Add a Plot
Time's Paradox,2023.0,"History, Sci-Fi",10.0,"""Time's Paradox"" follows Juwel Chowdhury, a young and ambitious scientist, as he joins forces with the fearless time traveler, Ricky Riyaf. Together, they embark on a dangerous mission to ...                See full summary »"
Love Mein,2022.0,"Action, Romance",10.0,This is 2016's love story where the only daughter of multi-millionaire businessman is in deep love with son of his co-worker. Would her father accept the relationship or not?
Journey of Eternity,2019.0,"Drama, History",10.0,"After his beloved fiancé was forcibly taken away, Esho a school teacher, is falsely accused of committing a crime and gets thrown in an Iraqi prison. While in prison, he witnesses the ...                See full summary »"
An Example of Teenage Boredom: The Movie,2022.0,"Action, Comedy, Western",10.0,"It's the time of the Wild West. No. It's the time of the late 80s. Uh. It's the time of the Present Time. Nope. Hold on. Thunder and Laughter. No. Stairs. Walking. And more stairs. No. Grass. Sky. An-Old-Man-Near-A-Tree. Oh, it's done."
Kalpvariksha (Part One): Paramchakra,2022.0,"Adventure, Thriller",9.9,Vinayak found his way to attain the powers of Kalpvariksha through Paramchakra but there were adverse consequences
Wandering Bonbon,2022.0,Romance,9.9,"'Hitoe', a woman who spent a long time aimlessly drinking and drinking every day. It doesn't cut down on the actual 'Masaru' or gives it satisfaction. Then one day, 'Masaru' disappears in front of her."
Nerazumevalica (Understandinglessness),2022.0,"Family, Fantasy",9.9,"In ancient times, the country was ruled by Mudrozica - the Sorceress of the country. She equally divided her's powers among the inhabitants of six different Unions: the Uraganopolci, the ...                See full summary »"
Oye Jassi Oye,2023.0,"Comedy, Romance, Thriller",9.9,Add a Plot
Khasagi Putagalu,2022.0,"Comedy, Drama, Romance",9.9,A coastal backdrop romantic comedy movie mainly set in Udupi and it's surroundings.
Kalpvariksha (Part One): Paramchakra,2022.0,"Adventure, Thriller",9.9,Vinayak found his way to attain the powers of Kalpvariksha through Paramchakra but there were adverse consequences
Sika,2022.0,"Drama, History",9.9,"Abdelghafour is a journalist who writes about the social and historical links between the inhabitants of the far north and the south of Morocco. He is trucked by al-Batal, a head of a ...                See full summary »"
Nerazumevalica (Understandinglessness),2022.0,"Family, Fantasy",9.9,"In ancient times, the country was ruled by Mudrozica - the Sorceress of the country. She equally divided her's powers among the inhabitants of six different Unions: the Uraganopolci, the ...                See full summary »"
Maanavudu Daanavudu,1986.0,Family,9.9,Add a Plot
Low Heat,2021.0,"Action, Comedy, Drama",9.9,The foul mouth quick quipping Jamal becomes involved with two greedy drug dealers in a drug deal that's gone completely off track. Jamal becomes captured alongside an unlikely ally. The ...                See full summary »
Adai Mazhai Kaalam,2023.0,Romance,9.8,A tale of a young man and the journey of Love in his life to understand the meaning of eternal love and its purpose. An emotional roller coaster presented with a touch of fantasy .
Love Mein,2022.0,"Action, Romance",9.8,This is 2016's love story where the only daughter of multi-millionaire businessman is in deep love with son of his co-worker. Would her father accept the relationship or not?
The Key of Baku,2022.0,Action,9.8,Add a Plot
The Next Morning,2022.0,Crime,9.8,"Children are similar to gods, so how do they become devils?"
Prince Oak Oakleyski: Eurasia Handsome Sovereign,2022.0,Mystery,9.8,"Prince Oak Oakleyski returned to Tashkent city once again because he missed his forefather, but there's something about him that lead an enormous group of people to be his attendance."
Nishachar,2022.0,Mystery,9.8,Ritu goes clubbing late at night furiously because she had a feud with her boyfriend but the night had some treacherous plans for her.
The Shoonyah: Chapter 1 - Blow of the War Horns,2021.0,Action,9.8,"This epic fantasy fiction portrays Indian martial art form Kalarippayattu at it's best. The magnificent journey of a martial art prodigy from a young aspiring boy to a legendary warrior, ...                See full summary »"
The Next Morning,2022,Crime,9.8,"Children are similar to gods, so how do they become devils?"
Asatveera,2021,Crime,9.8,Add a Plot
Angelito San Miguel at Ang Mga Batang City Jail,1991,"Action, Crime, Drama",9.8,Angelito leads a group of young ex-convicts who will risk going back to prison in order to fight a notorious syndicate.
Hije,2016,"Crime, Mystery, Thriller",9.7,"Several homicides have shocked an Albanian small town. Gangs of the same criminal band have been murdered within a night. The prosecutor is investigating the case, while interrogating the ...                See full summary »"
Saddu Vicharane Nadeyuttide,2022,"Crime, Thriller",9.7,The Mysterious case of inter-caste missing couple creates Media Uproar is handed over by police department to dynamic crime branch officer Pruthvi Raj who cracks the case which has Twists and Turns
GUHAAR,2022,Crime,9.7,A poor farmer fight against a rich landlord and the corrupt administrates for a small piece of land. Ends with a painful decision to save his farms for his family.
Sorry Karma Returns,2022,"Crime, Mystery, Thriller",9.7,"A group of youngsters led by PK, the son of a political heavyweight are on a journey to their resort and the Karma returns in various forms through all the sins they have committed in the past. Will the Karma triumph over the tyranny ?"
NINA,2018,"Crime, Drama, Thriller",9.7,"In search of her father's murderer, Nina meets the aged ex-cop Rainer. Soon, the young loner and the failed family man fill a gap in each other's lives. But as Nina digs deeper into the ...                See full summary »"
Parvatinagar,2022,"Crime, Mystery, Thriller",9.7,"Police arrest former lover 'Arvind' of a prostitute 'Shweta' for her murder . The police are suspicious of Arvind but have no evidence to support it. After getting beaten up by the police, ...                See full summary »"
Nji Prej Nesh,2022,"Crime, Drama",9.7,"A former volunteer in the Kosovo war returns to Albania to pursue a career in the police force. In the country's chaotic and corrupt capital city, Tirana, the ex-soldier turned cop and ends up solving the crime he committed."
Bluff,2023,"Crime, Drama, Mystery",9.7,"A suspect of murder goes ""by hook or by crook"" way to prove himself not guilty."
